seed,split,model,graph,episode,auroc,auprc,pos_frac
2,sector,gat,empty,2016-09,0.673014265586474,0.4411848367768887,0.28936170212765955
2,sector,gat,empty,2018-02,0.7207113543091654,0.7327210372266253,0.5425531914893617
2,sector,mlp,-,2015-08,0.687950875987633,0.8278492832773918,0.6978723404255319
2,sector,mlp,-,2016-06,0.776985519964897,0.7911311577107438,0.548936170212766
2,sector,mlp,-,2016-09,0.669844135258894,0.42775662561822747,0.28936170212765955
2,sector,mlp,-,2018-02,0.728062015503876,0.7399701205369557,0.5425531914893617
2,sector,lr,-,2015-08,0.7144881484026107,0.8267465373278297,0.6978723404255319
2,sector,lr,-,2016-06,0.7716286382916482,0.7607438419455907,0.548936170212766
2,sector,lr,-,2016-09,0.6701083127861923,0.43676969458100523,0.28936170212765955
2,sector,lr,-,2018-02,0.6991518467852257,0.6931116026996057,0.5425531914893617
2,loeo,gat,sector,2015-08,0.5590862246650635,0.7691241541892766,0.6978723404255319
2,loeo,gat,sector,2016-06,0.49564867632002346,0.511670185162821,0.548936170212766
2,loeo,gat,sector,2016-09,0.31778355054596685,0.24891287840066884,0.28936170212765955
2,loeo,gat,sector,2018-02,0.5261650706794345,0.5601746253949087,0.5425531914893617
2,loeo,gat,functional,2015-08,0.5969598076262452,0.7771114787044133,0.6978723404255319
2,loeo,gat,functional,2016-06,0.4393374286967968,0.48580757984539485,0.548936170212766
